               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.026429,             0.02114,           0.0027363,             0.97411,             0.97976,              0.9885,             0.77182,            0.017322,             0.01857,           0.0015231,           0.0097178,           0.0097178,           0.0097178
                  36,             0.02594,            0.021232,           0.0024957,               0.986,             0.97201,             0.98948,             0.76537,            0.016427,            0.018426,           0.0016427,           0.0097011,           0.0097011,           0.0097011
                  37,            0.024615,            0.020275,           0.0024884,             0.98414,             0.96919,             0.99074,             0.77197,            0.016188,            0.017832,           0.0014845,            0.009684,            0.009684,            0.009684
                  38,             0.02612,            0.020832,           0.0024546,             0.98552,              0.9646,             0.98883,             0.77703,            0.015729,            0.018239,           0.0015435,           0.0096664,           0.0096664,           0.0096664
                  39,            0.025427,            0.020438,            0.002511,             0.97509,             0.98384,              0.9908,             0.77878,            0.016156,            0.018045,           0.0016735,           0.0096484,           0.0096484,           0.0096484
                  40,            0.024704,            0.019709,           0.0024361,             0.97698,              0.9854,             0.99111,             0.78072,            0.015261,            0.018018,           0.0014308,           0.0096299,           0.0096299,           0.0096299
                  41,            0.023576,            0.019874,            0.002357,             0.98595,             0.97845,              0.9921,             0.77391,            0.015186,             0.01776,           0.0013211,            0.009611,            0.009611,            0.009611
                  42,             0.02455,            0.020358,           0.0023442,             0.98515,             0.97701,             0.99096,             0.79536,             0.01452,             0.01733,           0.0013093,           0.0095916,           0.0095916,           0.0095916
                  43,            0.024418,            0.019753,           0.0024495,              0.9759,             0.97376,             0.98913,              0.7917,            0.015093,            0.018097,            0.001527,           0.0095717,           0.0095717,           0.0095717
                  44,             0.02459,             0.02032,           0.0022752,             0.97608,             0.98872,             0.99122,             0.79136,             0.01505,            0.017801,           0.0013227,           0.0095514,           0.0095514,           0.0095514
                  45,            0.023563,            0.019349,           0.0023189,             0.97709,             0.97679,             0.98677,             0.80746,            0.013941,            0.017156,            0.001357,           0.0095307,           0.0095307,           0.0095307
                  46,             0.02355,            0.019927,           0.0024144,             0.97852,             0.98077,             0.99041,             0.79464,            0.015123,            0.017376,           0.0013508,           0.0095095,           0.0095095,           0.0095095
