               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11409,            0.054083,            0.035577,           0.0053764,            0.012064,            0.001768,            0.000369,                 0.1,            0.058559,            0.030438,             0.00039,             0.00039,             0.09649
                   1,            0.096473,            0.062413,            0.027095,            0.062077,            0.086238,             0.04047,           0.0078779,            0.079027,             0.06043,            0.022475,          0.00078805,          0.00078805,            0.092888
                   2,            0.078678,            0.057263,            0.021754,             0.80096,             0.14611,             0.14959,            0.041073,            0.063591,            0.049067,            0.019311,           0.0011783,           0.0011783,            0.089278
                   3,            0.067487,            0.048324,            0.019058,             0.82926,              0.1753,             0.16773,            0.041986,            0.057367,            0.041362,             0.01792,            0.001555,            0.001555,            0.085655
                   4,            0.069518,            0.045166,            0.019988,             0.80213,             0.19839,             0.16413,            0.045296,            0.061887,            0.037661,            0.017235,           0.0019126,           0.0019126,            0.082013
                   5,            0.065933,            0.041559,            0.018455,             0.52019,             0.36563,             0.22615,            0.074271,            0.055401,            0.036284,            0.016242,           0.0022459,           0.0022459,            0.078346
                   6,            0.062826,            0.039775,            0.017281,             0.65667,             0.41822,             0.32472,            0.097702,            0.050813,            0.034497,            0.014974,           0.0025502,           0.0025502,             0.07465
                   7,             0.05793,            0.037387,            0.016088,             0.71161,             0.52349,              0.5082,             0.21754,            0.041822,            0.033329,            0.013329,           0.0028213,           0.0028213,            0.070921
                   8,            0.055365,            0.036194,            0.013528,             0.65661,             0.49785,             0.42224,             0.14904,            0.047025,            0.032981,            0.011848,           0.0030555,           0.0030555,            0.067155
                   9,            0.053984,            0.035719,            0.011155,             0.75089,             0.45981,             0.48042,             0.21418,            0.041133,            0.031672,            0.010836,           0.0032499,           0.0032499,             0.06335
                  10,            0.051766,            0.036876,            0.010304,             0.74933,             0.49834,             0.46054,             0.18914,             0.04024,            0.031012,           0.0098461,           0.0034023,           0.0034023,            0.059502
                  11,            0.054601,            0.036485,           0.0098178,             0.66095,             0.49593,             0.39076,             0.11926,            0.051778,            0.030471,            0.010105,           0.0035112,           0.0035112,            0.055611
                  12,            0.055547,             0.03425,           0.0099084,             0.66275,             0.47558,             0.42768,             0.16761,            0.043324,            0.029908,           0.0096284,           0.0035762,           0.0035762,            0.051676
                  13,             0.04929,            0.034233,           0.0089099,             0.77681,             0.45146,             0.49003,             0.23808,            0.039756,            0.030028,           0.0092906,           0.0035975,           0.0035975,            0.047698
                  14,            0.047171,            0.031905,            0.008274,             0.85304,             0.49146,             0.57057,             0.27903,              0.0382,            0.029533,            0.008939,           0.0035763,           0.0035763,            0.043676
                  15,            0.046741,            0.032455,           0.0087362,             0.85824,             0.51565,             0.57273,              0.2936,            0.037227,            0.029337,           0.0086895,           0.0035145,           0.0035145,            0.039615
                  16,            0.044487,             0.03262,           0.0084391,             0.84834,             0.44605,             0.55049,             0.27401,            0.039586,            0.029128,           0.0083375,           0.0034151,           0.0034151,            0.035515
                  17,            0.044105,            0.032777,           0.0074255,             0.90271,             0.55178,             0.61555,             0.30102,            0.034248,            0.028589,           0.0084345,           0.0032818,           0.0032818,            0.031382
                  18,            0.041356,            0.032224,           0.0080568,             0.89214,             0.56527,             0.62746,             0.32478,            0.034903,            0.028547,           0.0083367,           0.0031191,           0.0031191,            0.027219
                  19,            0.044112,             0.02967,           0.0072966,              0.9133,             0.54543,             0.61531,             0.32443,            0.033165,            0.029245,           0.0084424,           0.0029321,           0.0029321,            0.023032
                  20,            0.039956,            0.029032,           0.0070309,             0.90251,             0.54459,             0.62236,             0.34518,            0.032612,            0.028256,           0.0083474,           0.0027268,           0.0027268,            0.018827
                  21,            0.037271,            0.031543,           0.0072976,             0.92745,             0.56116,             0.64541,             0.34466,            0.032419,            0.027977,           0.0080931,           0.0025095,           0.0025095,             0.01461
                  22,            0.036374,            0.030005,           0.0066335,             0.94149,             0.56242,             0.64833,             0.37511,            0.030528,            0.027555,           0.0077707,           0.0022873,           0.0022873,            0.010387
                  23,            0.032566,            0.027766,           0.0066832,             0.92954,             0.56532,             0.65216,             0.37101,            0.028931,            0.027269,            0.007786,           0.0020675,           0.0020675,           0.0061675
                  24,            0.030767,            0.028395,           0.0063472,             0.92095,             0.58593,             0.65904,             0.39661,            0.028005,            0.027333,           0.0074866,           0.0018576,           0.0018576,           0.0019576
                  25,            0.029511,            0.029121,           0.0056755,             0.93312,             0.57077,             0.66555,             0.40501,            0.026909,            0.026966,           0.0072377,           0.0016029,           0.0016029,           0.0016029
                  26,            0.029179,            0.027605,           0.0059589,             0.95262,             0.55479,             0.66498,             0.40484,            0.027205,            0.026911,           0.0069632,           0.0016029,           0.0016029,           0.0016029
                  27,            0.029387,            0.027946,            0.006628,              0.9422,             0.55723,             0.66298,             0.40433,            0.026614,            0.026616,           0.0069716,            0.001389,            0.001389,            0.001389
                  28,            0.027329,            0.027262,           0.0057058,             0.93346,             0.57633,             0.66657,             0.42344,            0.025164,             0.02632,           0.0067869,           0.0012202,           0.0012202,           0.0012202
                  29,            0.027885,            0.028081,           0.0060098,              0.9473,             0.56169,             0.64968,              0.4046,            0.025574,            0.026627,           0.0067986,           0.0010983,           0.0010983,           0.0010983
